Name1,Rank1,Wins1,Losses1,surfaceWins1,surfaceLosses1,bestOfWins1,bestOfLosses1,tournamentWins1,tournamentLosses1,Gap1,Length1,tbWins1,tbLoses1,deciderWins1,deciderLosses1,Odds1,Name2,Rank2,Wins2,Losses2,surfaceWins2,surfaceLosses2,bestOfWins2,bestOfLosses2,tournamentWins2,tournamentLosses2,Gap2,Length2,tbWins2,tbLoses2,deciderWins2,deciderLosses2,Odds2,h2h1,h2h2,Upset
Dolgopolov O.,37.0,72,70,42,41,64,59,1,2,6.0,2025.0,48,52,0,4,1.72,Coric B.,40.0,28,29,14,16,24,24,0,0,6.0,5616.0,18,11,2,5,2.0,1,0,1.0
Tomic B.,20.0,71,61,47,39,55,49,0,2,5.0,2490.0,59,55,4,2,1.85,Verdasco F.,42.0,76,66,30,34,58,54,1,1,5.0,1927.0,56,61,6,2,2.07,1,0,0.0
Klizan M.,44.0,58,64,23,32,49,52,1,1,7.0,2315.0,44,37,2,3,1.33,Zhang Ze,182.0,1,2,1,2,1,2,0,0,4.0,15875.0,0,0,0,0,3.25,0,0,0.0
Kyrgios N.,32.0,33,25,16,14,16,15,0,0,3.0,2312.0,39,32,3,3,1.16,Haider-Maurer A.,60.0,26,37,8,12,21,27,0,0,5.0,1970.0,19,29,3,2,5.0,0,0,0.0
Bautista R.,23.0,102,68,56,41,80,56,2,1,4.0,2635.0,57,38,5,1,1.4,Garcia-Lopez G.,28.0,74,68,32,33,64,56,0,1,5.0,3050.0,44,51,2,1,2.75,1,0,0.0
Seppi A.,27.0,76,75,44,43,55,63,1,1,7.0,3410.0,55,48,9,4,1.83,Johnson S.,47.0,53,54,38,34,47,42,1,1,4.0,3185.0,38,44,3,3,1.83,0,1,1.0
Karlovic I.,21.0,84,62,48,41,75,52,2,1,4.0,2720.0,96,87,2,3,1.83,Chardy J.,29.0,79,75,45,42,56,64,1,2,5.0,2370.0,74,57,3,0,1.83,0,2,0.0
Thiem D.,18.0,59,47,23,26,50,39,1,1,6.0,3880.0,42,38,1,3,1.57,Lu Y.H.,91.0,57,62,45,46,50,50,1,1,3.0,4484.0,38,32,1,1,2.25,0,0,0.0
Young D.,48.0,39,44,34,32,30,35,0,1,5.0,3131.0,21,21,3,1,1.33,Estrella Burgos V.,66.0,23,28,6,12,20,21,0,0,6.0,1712.0,18,19,0,0,3.25,0,0,1.0
Querrey S.,52.0,71,63,45,41,59,51,0,1,5.0,5440.0,57,57,1,4,1.28,Ramos-Vinolas A.,70.0,14,25,5,9,13,20,0,0,6.0,1828.0,7,9,0,0,3.5,0,0,1.0
Isner J.,13.0,114,62,78,38,94,51,3,2,3.0,17925.0,137,75,1,5,1.25,Mannarino A.,41.0,53,64,31,39,40,52,0,0,6.0,1589.0,28,39,1,5,3.75,2,1,0.0
Lopez F.,17.0,100,68,55,40,77,56,5,2,5.0,2991.0,78,56,4,1,1.28,Kuznetsov An.,88.0,22,37,7,12,13,29,0,0,76.0,1097.0,17,18,2,1,3.5,1,0,0.0
Tsonga J.W.,15.0,95,45,57,27,62,35,3,1,7.0,2750.0,61,47,4,5,1.3,Robredo T.,30.0,102,65,45,31,78,53,1,2,6.0,1911.0,58,56,6,1,3.4,0,0,0.0
Mayer L.,38.0,59,57,15,23,44,45,1,1,41.0,10205.0,47,36,2,1,1.08,Bai Y.,241.0,1,2,1,2,1,2,0,0,11.0,1226.0,1,2,0,0,8.0,0,0,0.0
Cilic M.,12.0,102,50,64,26,71,41,0,1,3.0,6810.0,73,33,6,4,1.03,Wu D.,227.0,0,7,0,7,0,5,0,2,6.0,3986.0,1,5,0,0,15.0,0,0,0.0
Pospisil V.,43.0,57,59,43,42,48,48,2,2,6.0,4765.0,42,56,4,3,1.83,Bolelli S.,58.0,40,39,21,20,33,29,0,0,7.0,16435.0,27,21,2,3,1.83,0,1,0.0
Goffin D.,16.0,62,57,37,33,52,46,0,0,5.0,3270.0,30,36,1,1,1.08,Soeda G.,119.0,13,29,11,22,10,21,0,1,14.0,514.0,11,13,1,0,8.0,0,0,0.0
Raonic M.,9.0,118,55,86,36,87,44,2,2,8.0,4234.0,93,67,2,2,1.22,Bellucci T.,34.0,51,52,17,22,45,43,0,0,7.0,5150.0,38,35,1,0,4.0,0,0,0.0
Sock J.,33.0,62,47,38,33,51,38,2,1,4.0,4980.0,42,37,0,0,1.1,Kubot L.,614.0,16,30,7,17,9,23,0,0,278.0,868.0,14,17,1,1,7.0,0,0,0.0
Troicki V.,24.0,56,45,25,23,43,38,0,0,6.0,2033.0,32,32,1,2,1.66,Cuevas P.,35.0,44,37,10,17,39,28,0,1,4.0,2400.0,30,27,1,2,2.1,0,0,0.0
Gasquet R.,11.0,111,55,77,38,77,43,1,2,7.0,3955.0,67,46,6,4,1.4,Muller G.,36.0,35,35,26,24,30,27,0,0,3.0,7010.0,40,28,1,2,2.75,2,1,0.0
Anderson K.,10.0,115,67,77,45,83,55,2,2,7.0,3435.0,85,62,5,4,1.18,Haas T.,467.0,63,42,35,24,53,34,2,1,43.0,1093.0,37,26,1,3,4.5,0,1,0.0
Fognini F.,26.0,104,71,31,34,89,59,2,2,3.0,5070.0,55,38,2,1,1.5,Sousa J.,45.0,66,75,37,42,58,64,0,1,5.0,1401.0,39,37,3,6,2.5,1,1,0.0
