Predicted prob,Predicted variance,Odds1,Odds2,Result
0.16859129,0.16859129,1.25,4.0,0.0
0.27028766,0.27028766,1.11,6.5,0.0
0.37374458,0.37374458,1.57,2.37,0.0
0.41804424,0.41804424,1.16,5.0,0.0
0.2527622,0.2527622,2.1,1.72,1.0
0.1824988,0.1824988,1.04,13.0,0.0
0.4550712,0.4550712,1.1,7.0,0.0
0.21572684,0.21572684,1.57,2.37,1.0
0.2728093,0.2728093,1.16,5.0,0.0
0.23754112,0.23754112,1.36,3.2,0.0
0.18124747,0.18124747,1.07,9.0,0.0
0.23005086,0.23005086,1.28,3.75,0.0
0.455983,0.455983,1.57,2.37,1.0
0.41579247,0.41579247,1.3,3.5,0.0
0.18879996,0.18879996,1.08,8.0,0.0
0.28083137,0.28083137,1.53,2.5,0.0
0.40685153,0.40685153,1.02,17.0,0.0
0.32692122,0.32692122,1.28,3.75,0.0
0.16709743,0.16709743,1.8,2.0,1.0
0.44705057,0.44705057,1.36,3.2,0.0
0.2395717,0.2395717,1.28,3.75,0.0
0.23870979,0.23870979,1.72,2.1,0.0
0.40241647,0.40241647,1.53,2.5,1.0
0.2601856,0.2601856,1.16,5.0,0.0
0.33750755,0.33750755,1.44,2.75,1.0
0.3665403,0.3665403,1.12,6.0,0.0
0.06784332,0.06784332,1.2,4.5,1.0
0.37856117,0.37856117,1.8,2.0,1.0
0.36178207,0.36178207,2.75,1.44,0.0
0.37976915,0.37976915,1.16,5.0,0.0
0.3733085,0.3733085,1.07,9.0,0.0
0.30015722,0.30015722,2.1,1.72,0.0
0.13302702,0.13302702,1.07,9.0,1.0
0.2529776,0.2529776,1.5,2.62,1.0
0.11227069,0.11227069,1.05,11.0,0.0
0.3773007,0.3773007,1.44,2.75,0.0
0.4486593,0.4486593,1.06,10.0,0.0
0.3673952,0.3673952,1.16,5.5,0.0
0.44756204,0.44756204,1.57,2.25,0.0
0.37483397,0.37483397,1.25,3.75,0.0
0.45258224,0.45258224,1.66,2.1,0.0
0.35488197,0.35488197,1.4,2.75,1.0
0.43503088,0.43503088,1.4,2.75,1.0
0.16077194,0.16077194,1.4,2.75,0.0
0.4057161,0.4057161,1.3,3.4,0.0
0.20570768,0.20570768,4.0,1.22,1.0
0.24576499,0.24576499,1.22,4.0,0.0
0.28274786,0.28274786,1.36,3.0,0.0
0.23978506,0.23978506,1.44,2.62,0.0
0.37735915,0.37735915,1.3,3.4,1.0
0.39305526,0.39305526,1.57,2.25,0.0
0.15695661,0.15695661,2.37,1.53,0.0
0.390702,0.390702,1.83,1.83,1.0
0.295528,0.295528,1.53,2.37,1.0
0.3498944,0.3498944,1.44,2.62,1.0
0.23916814,0.23916814,1.72,2.0,0.0
0.39471427,0.39471427,3.0,1.36,1.0
0.34122348,0.34122348,1.57,2.25,0.0
0.31645632,0.31645632,1.5,2.62,1.0
0.09418875,0.09418875,1.53,2.5,0.0
0.33986232,0.33986232,1.66,2.2,0.0
0.27792522,0.27792522,2.62,1.5,1.0
0.41340563,0.41340563,1.9,1.9,1.0
0.29899827,0.29899827,2.1,1.72,1.0
0.25775895,0.25775895,1.4,3.0,0.0
0.10220291,0.10220291,1.44,2.62,0.0
0.43292695,0.43292695,1.61,2.2,0.0
0.2851124,0.2851124,1.36,3.0,0.0
0.3274703,0.3274703,2.0,1.72,0.0
0.4065136,0.4065136,1.53,2.37,0.0
0.2526747,0.2526747,1.3,3.4,0.0
0.25584412,0.25584412,1.3,3.4,0.0
0.30703008,0.30703008,1.33,3.25,0.0
0.1024703,0.1024703,1.33,3.25,0.0
0.28349054,0.28349054,1.4,2.75,0.0
0.32191664,0.32191664,1.61,2.2,1.0
0.33278763,0.33278763,2.1,1.66,0.0
0.29323676,0.29323676,1.57,2.25,0.0
0.12643816,0.12643816,1.66,2.1,1.0
0.25931665,0.25931665,1.61,2.2,0.0
0.43492848,0.43492848,1.4,2.75,0.0
0.30177736,0.30177736,1.22,4.0,0.0
0.37634593,0.37634593,1.36,3.0,1.0
0.18863,0.18863,1.11,6.5,0.0
0.320651,0.320651,1.4,2.75,0.0
0.38019782,0.38019782,1.61,2.3,0.0
0.2674498,0.2674498,2.0,1.8,1.0
0.41050857,0.41050857,1.28,3.75,1.0
0.26361054,0.26361054,1.25,4.0,0.0
0.3683698,0.3683698,1.8,2.0,0.0
0.42414013,0.42414013,1.14,5.5,0.0
0.41927123,0.41927123,1.22,4.33,0.0
0.17810902,0.17810902,1.4,2.75,1.0
0.36157385,0.36157385,1.57,2.25,0.0
0.26039532,0.26039532,1.14,5.5,0.0
0.2836426,0.2836426,2.37,1.53,1.0
0.15374808,0.15374808,1.66,2.1,0.0
0.4246047,0.4246047,1.72,2.0,0.0
0.2549784,0.2549784,1.574966013396195,3.703268667824501,1.0
0.43860975,0.43860975,1.28,3.5,0.0
0.09815166,0.09815166,2.5,1.5,0.0
0.30145904,0.30145904,1.61,2.2,0.0
0.32745174,0.32745174,1.36,3.0,1.0
0.25552836,0.25552836,1.36,3.0,0.0
0.21163426,0.21163426,1.44,2.62,0.0
0.37792814,0.37792814,2.62,1.44,1.0
0.3901311,0.3901311,2.37,1.53,0.0
0.37744385,0.37744385,1.25,3.75,0.0
0.3786548,0.3786548,1.72,2.0,1.0
0.4098014,0.4098014,1.53,2.37,1.0
0.21704912,0.21704912,1.57,2.25,1.0
0.27296495,0.27296495,1.5,2.5,1.0
0.0684982,0.0684982,1.3,3.5,1.0
0.19617748,0.19617748,1.5,2.62,1.0
0.26410952,0.26410952,1.44,2.75,0.0
0.37572473,0.37572473,2.75,1.44,1.0
0.30910778,0.30910778,1.8,2.0,0.0
0.36387822,0.36387822,1.8,2.0,1.0
0.30440426,0.30440426,1.4,3.0,0.0
0.4222853,0.4222853,1.53,2.37,0.0
0.22957784,0.22957784,2.75,1.4,0.0
0.37030864,0.37030864,1.53,2.37,1.0
0.24128814,0.24128814,1.28,3.5,0.0
0.32785454,0.32785454,2.37,1.53,0.0
0.33781624,0.33781624,1.61,2.2,0.0
0.30110276,0.30110276,1.28,3.5,1.0
0.32689348,0.32689348,2.75,1.4,1.0
0.33746392,0.33746392,1.44,2.62,0.0
0.31153136,0.31153136,2.1,1.66,1.0
0.16934378,0.16934378,1.57,2.25,1.0
0.19703646,0.19703646,1.57,2.25,1.0
0.29393557,0.29393557,2.2,1.61,0.0
0.4624977,0.4624977,1.25,3.75,0.0
0.12409398,0.12409398,1.36,3.0,0.0
0.3791386,0.3791386,1.57,2.25,1.0
0.22644173,0.22644173,1.2,4.33,0.0
0.2352456,0.2352456,1.28,3.5,1.0
0.17187463,0.17187463,1.16,5.0,0.0
0.29587382,0.29587382,1.36,3.0,0.0
0.06959846,0.06959846,1.36,3.2,1.0
0.22120039,0.22120039,1.8,2.0,0.0
0.16393779,0.16393779,1.25,4.0,0.0
0.30980986,0.30980986,2.2,1.66,1.0
0.12882009,0.12882009,1.574966013396195,3.703268667824501,1.0
0.21128595,0.21128595,1.574966013396195,3.703268667824501,1.0
0.4074247,0.4074247,1.3,3.5,0.0
0.3561208,0.3561208,1.8,1.9,1.0
0.22309695,0.22309695,1.5,2.5,0.0
0.3165556,0.3165556,3.25,1.33,1.0
0.26197368,0.26197368,1.36,3.0,1.0
0.39550778,0.39550778,1.16,5.0,0.0
0.2941442,0.2941442,1.4,2.75,0.0
0.33575985,0.33575985,2.0,1.72,1.0
0.3254993,0.3254993,1.57,2.25,0.0
0.4143101,0.4143101,1.66,2.1,1.0
0.30103007,0.30103007,1.53,2.37,1.0
0.30616307,0.30616307,1.66,2.1,0.0
0.43353915,0.43353915,1.57,2.25,0.0
0.19219007,0.19219007,1.4,2.75,0.0
0.23004347,0.23004347,1.28,3.5,0.0
0.28857794,0.28857794,1.3,3.4,1.0
0.2069002,0.2069002,1.4,2.75,0.0
0.3090284,0.3090284,2.62,1.44,1.0
0.23945257,0.23945257,1.36,3.0,0.0
0.22075643,0.22075643,2.62,1.44,0.0
0.4150338,0.4150338,1.14,5.5,0.0
0.08269425,0.08269425,1.57,2.25,0.0
0.3416965,0.3416965,1.53,2.37,0.0
0.24877879,0.24877879,1.53,2.37,1.0
0.4315406,0.4315406,1.36,3.0,0.0
0.24645105,0.24645105,1.61,2.3,0.0
0.06829467,0.06829467,1.44,2.75,0.0
0.23325066,0.23325066,1.8,2.0,0.0
0.27322587,0.27322587,1.33,3.4,0.0
0.19064775,0.19064775,1.57,2.37,0.0
0.1699226,0.1699226,1.66,2.2,1.0
0.18920001,0.18920001,1.9,1.9,0.0
0.26735336,0.26735336,1.25,3.75,1.0
0.33637142,0.33637142,1.83,1.83,0.0
